_id,name,lat,lng,pr,totalNumOfPlaces
1,Braník,50.028584,14.406528,True,270
2,Běchovice,50.0808,14.597429,True,92
3,Depo Hostivař,50.076397,14.517204,True,169
4,Holešovice,50.109318,14.441252,True,74
5,Kongresové centrum Praha,50.060696,14.428616,True,260
6,Kotlářka,50.06858,14.358078,True,181
7,Letňany,50.125168,14.514741,True,633
8,Ládví,50.126156,14.472344,True,78
9,Nové Butovice,50.05053,14.350451,True,57
10,Opatov,50.026306,14.507006,True,208
11,Písnice,50.003105,14.466562,True,95
12,Radotín,49.986687,14.36348,True,36
13,Rajská zahrada,50.10684,14.56221,True,88
14,Skalka 1,50.069622,14.507447,True,63
15,Skalka 2,50.070156,14.511875,True,74
16,Troja,50.11548,14.437327,True,269
17,Westfield Chodov,50.032074,14.492015,True,653
18,Zličín 1,50.054527,14.28977,True,83
19,Zličín 2,50.053432,14.290852,True,61
20,Černý Most 2,50.110615,14.582787,True,131
21,Slovan,50.080696,14.431474,False,480
22,Wilsonova,50.083508,14.434239,False,464
23,"",,,"",
